"title","milestone","labels","body_file"
"Epic: Studio / Console 统一面板","M1-Core-Runtime","type/epic,priority/p0,module/studio,project:superflow","scripts/projects/bodies/epic-studio-console.md"
"Feature: Console Tab 统一 运行/错误修复/测试","M1-Core-Runtime","type/feature,priority/p0,module/studio,project:superflow","scripts/projects/bodies/feature-console-unify.md"
"Feature: 顶部全局状态条（runId/用时/成功率/缓存/日志源）","M1-Core-Runtime","type/feature,priority/p0,module/studio,project:superflow","scripts/projects/bodies/feature-global-statusbar.md"
"Feature: ⌘K 命令面板与全局搜索","M2-Debug-Obs","type/feature,priority/p0,module/studio,project:superflow","scripts/projects/bodies/feature-command-palette.md"
"Feature: 选区重跑（画布选中 → Console 执行范围）","M2-Debug-Obs","type/feature,priority/p0,module/studio,project:superflow","scripts/projects/bodies/feature-selection-rerun.md"

"Epic: Flow / 画布 性能与可操作","M1-Core-Runtime","type/epic,priority/p0,module/flow,project:superflow","scripts/projects/bodies/epic-flow-canvas.md"
"Feature: 接入自动布局（elkjs, utils.autoLayout→工具栏）","M1-Core-Runtime","type/feature,priority/p0,module/flow,project:superflow","scripts/projects/bodies/feature-flow-autolayout.md"
"Feature: 状态过滤（failed/running）+ 最小筛选面板","M2-Debug-Obs","type/feature,priority/p0,module/flow,project:superflow","scripts/projects/bodies/feature-flow-state-filter.md"
"Feature: 子图/分组折叠（按标签/子流程）","M2-Debug-Obs","type/feature,priority/p1,module/flow,project:superflow","scripts/projects/bodies/feature-flow-collapsible-groups.md"
"Feature: 框选批量 + 选区重跑联动 Console","M2-Debug-Obs","type/feature,priority/p0,module/flow,project:superflow","scripts/projects/bodies/feature-flow-marquee-rerun.md"

"Epic: Inspector / 强类型与校验","M1-Core-Runtime","type/epic,priority/p0,module/inspector,project:superflow","scripts/projects/bodies/epic-inspector-validation.md"
"Feature: 表单即时校验（Ajv + JSON Schema）","M1-Core-Runtime","type/feature,priority/p0,module/inspector,project:superflow","scripts/projects/bodies/feature-inspector-ajv-live.md"
"Feature: outputs 变更兼容性判定并写入事件流","M2-Debug-Obs","type/feature,priority/p0,module/inspector,project:superflow","scripts/projects/bodies/feature-inspector-outputs-compat.md"
"Feature: 触发 DSL 迁移向导（节点级→字段级）","M3-Migration","type/feature,priority/p0,module/inspector,project:superflow","scripts/projects/bodies/feature-inspector-migration-launch.md"

"Epic: Run Center / 可观测性","M1-Core-Runtime","type/epic,priority/p0,module/run-center,project:superflow","scripts/projects/bodies/epic-run-center.md"
"Feature: Trace 进度条可点击跳转节点","M2-Debug-Obs","type/feature,priority/p0,module/run-center,project:superflow","scripts/projects/bodies/feature-run-trace-clickable.md"
"Feature: 日志级别过滤、书签、跳至最新/锁定滚动","M2-Debug-Obs","type/feature,priority/p0,module/run-center,project:superflow","scripts/projects/bodies/feature-run-logs-filters.md"
"Feature: 链路ID贯穿 runId/chainId/nodeId（OTel 语义预留）","M1-Core-Runtime","type/feature,priority/p0,module/run-center,project:superflow","scripts/projects/bodies/feature-run-trace-ids.md"

"Epic: App Services（CQRS 门面）","M1-Core-Runtime","type/epic,priority/p0,module/services,project:superflow","scripts/projects/bodies/epic-services.md"
"Feature: startRun/retryNode 与事件流对齐并写 Dexie","M1-Core-Runtime","type/feature,priority/p0,module/services,project:superflow","scripts/projects/bodies/feature-services-startRun.md"
"Feature: 保存即新版本（代码/DSL/映射/配置差异）","M3-Migration","type/feature,priority/p0,module/services,project:superflow","scripts/projects/bodies/feature-services-versioning.md"
"Feature: 固定版本运行/草稿与发布分离/一键回滚","M4-Agent-Test","type/feature,priority/p1,module/services,project:superflow","scripts/projects/bodies/feature-services-pinned-versions.md"

"Epic: 数据与存储（Dexie）","M1-Core-Runtime","type/epic,priority/p0,module/data,project:superflow","scripts/projects/bodies/epic-data.md"
"Feature: 表结构与索引校准（runs/logs/versions/flows/nodes/events）","M1-Core-Runtime","type/feature,priority/p0,module/data,project:superflow","scripts/projects/bodies/feature-data-schema.md"
"Feature: 日志分片加载与 NDJSON 导出","M1-Core-Runtime","type/feature,priority/p0,module/data,project:superflow","scripts/projects/bodies/feature-data-logs-ndjson.md"
"Feature: 清理策略与配额预警/导入导出工具（基础）","M4-Agent-Test","type/feature,priority/p1,module/data,project:superflow","scripts/projects/bodies/feature-data-retention.md"

"Epic: Runtime / Worker（沙箱执行）","M1-Core-Runtime","type/epic,priority/p0,module/runtime,project:superflow","scripts/projects/bodies/epic-runtime.md"
"Feature: Web Worker 默认断网、超时终止、结构化事件","M1-Core-Runtime","type/feature,priority/p0,module/runtime,project:superflow","scripts/projects/bodies/feature-runtime-sandbox.md"
"Feature: Dry-Run 沙箱（隔离依赖/密钥）","M4-Agent-Test","type/feature,priority/p1,module/runtime,project:superflow","scripts/projects/bodies/feature-runtime-dryrun.md"

"Epic: 迁移向导（双向一致性护栏）","M3-Migration","type/epic,priority/p0,module/studio,project:superflow","scripts/projects/bodies/epic-migration.md"
"Feature: 节点级选择→字段级映射→应用与事件流","M3-Migration","type/feature,priority/p0,module/studio,project:superflow","scripts/projects/bodies/feature-migration-wizard-core.md"
"Feature: 自动映射置信度标签 + 原因说明","M3-Migration","type/feature,priority/p1,module/studio,project:superflow","scripts/projects/bodies/feature-migration-confidence.md"
"Feature: 批量规则（同名全局/正则/路径表达式）","M4-Agent-Test","type/feature,priority/p1,module/studio,project:superflow","scripts/projects/bodies/feature-migration-batch-rules.md"
"Feature: 撤销/审计：每步入事件流，可逐步回滚","M3-Migration","type/feature,priority/p0,module/studio,project:superflow","scripts/projects/bodies/feature-migration-undo-audit.md"

"Feature: 示例 DAG + 运行闭环验收（V1 场景）","M1-Core-Runtime","type/feature,priority/p0,module/studio,project:superflow","scripts/projects/bodies/feature-v1-e2e-scenario.md"
"Chore: ESLint 边界规则与依赖巡检（CI 集成）","M1-Core-Runtime","type/chore,priority/p0,module/services,project:superflow","scripts/projects/bodies/chore-ci-boundaries.md"
"Chore: 标签与里程碑初始化（项目板与视图）","M1-Core-Runtime","type/chore,priority/p0,module/services,project:superflow","scripts/projects/bodies/chore-project-setup.md"

